Date,Month,Year,Username,Subject,Score
11,5,2020,RITIKA,DBMS,0.0
12,5,2020,MUMMY,CUSTOM,0.0
20,5,2020,HELLO,SOFTWARE TESTING,0.0
11,8,2020,SAUMITRA,SOFTWARE TESTING,0.0
11,8,2020,SAUMITRA,DBMS,66.667
11,8,2020,SAUMITRA,ML,0.0
11,8,2020,ASIF_KHAN,CUSTOM,300.0
11,8,2020,SAUMITRA_CHAUHAN,DBMS,80.0
16,8,2020,RITIK,DBMS,10.0
16,8,2020,ADMIN,SOFTWARE TESTING,0.0
16,8,2020,ADMIN,DBMS,0.0
16,8,2020,ADMIN,ML,10.0
17,8,2020,SC,DBMS,10.0
17,8,2020,SC,DBMS,40.0
17,8,2020,AMIT,DBMS,20.0
17,8,2020,SAUMITRA,DBMS,20.0
